hour_utc,mean_return_bps,std_bps,n,ci95_bps,significant
0,1.522370080003204,83.28457694046192,3211,2.8807163834026817,False
1,-1.6174898598572576,80.43099450550804,3209,2.7828811012054944,False
2,-1.6424355391656331,79.71128630717594,3196,2.763582942599452,False
3,-2.1452508954834477,67.84030128368427,3198,2.3512814069803833,False
4,-0.5285172140688008,67.93601651477776,3200,2.353862880255631,False
5,0.5498151274177973,64.11517695657881,3203,2.220436957751907,False
6,2.0233855263041276,68.91551673380019,3202,2.3870549931944467,False
7,1.019611421608917,68.97748254244478,3202,2.3892013283007154,False
8,0.7120637956437348,72.59241974080972,3205,2.5132363213160827,False
9,-0.8747923904636808,69.8732476885842,3208,2.417963947684251,False
10,-0.2968464361385259,81.09971504361839,3209,2.80601857151699,False
11,2.20303020640889,69.11743564892191,3210,2.3910638418078722,False
12,1.9917230646192567,81.93293038590748,3210,2.8344058985955827,False
13,1.676754226355211,86.23214153630344,3209,2.983598530308144,False
14,-1.5428767581171685,96.48901366231655,3210,3.337962259936209,False
15,2.2663927502358074,87.12914687219539,3210,3.0141649599368985,False
16,0.2096965805642051,87.00566431711242,3210,3.009893177140258,False
17,-0.3397632062605366,76.68478695766579,3210,2.652850465149955,False
18,0.8144305333754972,72.77233090960601,3211,2.5171100533964084,False
19,1.8989305667946073,75.3702045089486,3211,2.606967471354903,False
20,0.5707093383832258,79.31899170748687,3211,2.743551415168797,False
21,4.165354219931622,77.4785282408484,3210,2.6803093264944113,True
22,5.062786803866926,75.37970828300851,3210,2.60770228509394,True
23,-2.044555569990441,78.887523609166,3211,2.7286274368596186,False
