hold_h,n,mean_bps,ci95_bps,t_stat,win_rate,net_bps,total_gross_pct
1,154,-8.767111973153023,11.735259528794328,-1.4642658243064308,0.4675324675324675,-20.767111973153025,-13.004073741635636
2,154,-3.4881832883155544,15.532965952563039,-0.4401502756123897,0.5,-15.488183288315552,-5.931279985630411
3,154,1.305012405434957,19.05192471127381,0.1342554284365267,0.5454545454545454,-10.69498759456504,0.9035275899325068
4,154,0.16378404057716733,20.616380115465784,0.015570954635747666,0.474025974025974,-11.83621595942283,-1.037179946742317
5,154,2.511437734214076,21.39171160254975,0.23010865378686524,0.4935064935064935,-9.488562265785923,2.503152816603005
6,154,-1.3208866948828866,22.41930779941238,-0.11547804888241531,0.44805194805194803,-13.320886694882885,-3.496215520407875
7,153,-8.367878872854076,22.56852970776449,-0.7267218025794282,0.42483660130718953,-20.367878872854075,-13.350745263545495
8,153,-8.350089429517826,23.0460125508322,-0.7101521465267079,0.4444444444444444,-20.350089429517823,-13.392632868072207
9,153,-2.755993453068815,24.618096265949692,-0.21942180701788294,0.47058823529411764,-14.755993453068813,-5.8539237968778135
10,153,-3.2159846920481545,24.645415966510505,-0.2557607469470055,0.45098039215686275,-15.215984692048153,-6.524702837000984
11,153,-9.759171345849511,25.359895523288248,-0.7542608296749341,0.43790849673202614,-21.759171345849513,-15.535948426248902
12,153,-1.442727040267397,26.226017296576583,-0.10782212819226726,0.47058823529411764,-13.442727040267396,-4.192807209665739
13,153,-1.405541873612446,26.98042280279991,-0.10210596373584281,0.47058823529411764,-13.405541873612444,-4.249548918109925
14,153,0.8416408174765716,27.198739623994292,0.06065045752336316,0.45751633986928103,-11.158359182523428,-0.9365671598035807
15,153,0.9882858325943782,26.834747677513597,0.07218403001821926,0.45751633986928103,-11.011714167405621,-0.6591697959393739
16,153,6.844558080641347,27.912324270935773,0.48062403216008803,0.47058823529411764,-5.155441919358651,8.462633327648184
17,153,6.845132987290939,27.97690442267541,0.4795548661279387,0.49673202614379086,-5.154867012709059,8.447304950123469
18,153,5.786676257405476,28.88240319336924,0.39269188884942163,0.5032679738562091,-6.213323742594523,6.532582974632728
19,153,1.7472301683118359,29.84678023647679,0.1147383772305835,0.5032679738562091,-10.252769831688163,-0.03166112463174331
20,153,4.162626380446663,30.56015147877331,0.26697340526412056,0.5359477124183006,-7.837373619553336,3.598512308408508
21,153,7.832696679938755,31.01434797479742,0.49499945977117504,0.5098039215686274,-4.167303320061244,9.487665561003311
22,153,5.564563552435823,32.20197156912522,0.33869182634864653,0.49673202614379086,-6.435436447564176,5.519324020745442
23,153,8.1841918077102,33.52547663341382,0.4784724201989242,0.49019607843137253,-3.8158081922897997,9.537865311599347
24,153,15.221467024728968,35.94412801148359,0.8300124949181477,0.5424836601307189,3.2214670247289683,21.345429055371667
