,0
V1.5_H3,-2.4625836895796613
V1.5_H6,-2.0866108021109766
V1.5_H12,-1.4031064281382262
V2.0_H3,-1.8821963512400863
V2.0_H6,-1.6961063306911182
V2.0_H12,-1.193216339438375
V3.0_H3,-1.3996722834146311
V3.0_H6,-1.2364566990581327
V3.0_H12,-0.5589697082196251
