entry_time,exit_time,direction,entry,stop,exit,reason,r_price,holding_days,r_mult_gross,r_mult_net,pnl_frac_gross,pnl_frac_net
2016-01-22 07:15:00+00:00,2016-01-28 15:00:00+00:00,1,1.4235,1.4091228571428571,1.4378771428571429,target,0.014377142857142866,175,1.0,0.9581879570747173,0.015,0.014372819356120758
2016-03-02 15:00:00+00:00,2016-03-08 07:00:00+00:00,1,1.4059,1.386812857142857,1.4249871428571428,target,0.019087142857142858,112,1.0,0.9704990569568116,0.015,0.014557485854352174
2016-03-17 12:00:00+00:00,2016-03-24 07:00:00+00:00,1,1.4421,1.407635,1.407635,stop,0.03446499999999997,160,-1.0,-1.0198744668504331,-0.015,-0.015298117002756496
2016-04-06 11:15:00+00:00,2016-04-25 11:00:00+00:00,-1,1.404,1.4463892857142857,1.4463892857142857,stop,0.042389285714285796,467,-1.0,-1.0169863425730887,-0.015,-0.01525479513859633
2016-04-29 07:00:00+00:00,2016-05-03 08:00:00+00:00,1,1.4655,1.4541957142857143,1.4768042857142858,target,0.011304285714285767,76,1.0,0.9522985846076035,0.015,0.014284478769114052
2016-05-04 08:00:00+00:00,2016-05-25 11:00:00+00:00,-1,1.4495,1.4692328571428572,1.4692328571428572,stop,0.01973285714285722,552,-1.0,-1.0360755302975502,-0.015,-0.015541132954463252
2016-05-31 14:45:00+00:00,2016-06-01 07:15:00+00:00,-1,1.4556,1.4656057142857144,1.4455942857142856,target,0.010005714285714395,6,1.0,0.948517475728164,0.015,0.01422776213592246
2016-06-06 09:45:00+00:00,2016-06-07 08:00:00+00:00,-1,1.4389,1.4537135714285714,1.4537135714285714,stop,0.014813571428571315,29,-1.0,-1.0512544433193634,-0.015,-0.01576881664979045
2016-06-10 13:30:00+00:00,2016-06-16 13:15:00+00:00,-1,1.4352,1.4611850000000002,1.4092149999999999,target,0.025985000000000147,143,1.0,0.967695151048679,0.015,0.014515427265730184
2016-06-24 07:00:00+00:00,2016-10-07 07:00:00+00:00,-1,1.373,1.48372,1.26228,target,0.11071999999999993,2700,1.0,0.9915685693641623,0.015,0.014873528540462434
2016-10-18 09:45:00+00:00,2016-10-25 13:15:00+00:00,1,1.2302,1.2157728571428572,1.2157728571428572,stop,0.01442714285714275,194,-1.0,-1.0540368452321982,-0.015,-0.015810552678482973
2016-10-27 10:15:00+00:00,2016-10-27 14:00:00+00:00,1,1.2258,1.219312142857143,1.219312142857143,stop,0.006487857142857045,15,-1.0,-1.0725665198723013,-0.015,-0.01608849779808452
2016-11-28 08:30:00+00:00,2016-12-01 13:45:00+00:00,1,1.2516,1.2336307142857144,1.2695692857142857,target,0.017969285714285688,129,1.0,0.96885257781134,0.015,0.0145327886671701
2016-12-07 09:45:00+00:00,2016-12-15 15:15:00+00:00,-1,1.2593,1.2752428571428571,1.243357142857143,target,0.015942857142857036,238,1.0,0.9657987455197171,0.015,0.014486981182795755
2017-01-03 15:00:00+00:00,2017-01-05 15:45:00+00:00,-1,1.2229,1.2398678571428572,1.2398678571428572,stop,0.01696785714285709,75,-1.0,-1.0436871185013632,-0.015,-0.015655306777520448
2017-01-31 15:45:00+00:00,2017-02-02 08:45:00+00:00,1,1.2597,1.2485807142857142,1.270819285714286,target,0.011119285714285887,44,1.0,0.9538592728207178,0.015,0.014307889092310767
2017-02-07 08:00:00+00:00,2017-03-08 11:30:00+00:00,-1,1.2379,1.2614707142857144,1.2143292857142856,target,0.023570714285714445,770,1.0,0.971535041970975,0.015,0.014573025629564624
2017-03-16 07:00:00+00:00,2017-03-21 09:30:00+00:00,1,1.231,1.2132728571428573,1.248727142857143,target,0.01772714285714283,118,1.0,0.9695651623821403,0.015,0.014543477435732104
2017-03-23 07:00:00+00:00,2017-03-27 10:00:00+00:00,1,1.2538,1.2458214285714286,1.2617785714285714,target,0.00797857142857139,84,1.0,0.952706222023286,0.015,0.01429059333034929
2017-04-04 07:00:00+00:00,2017-04-13 07:00:00+00:00,-1,1.2454,1.2559557142857143,1.2564,stop,0.010555714285714224,252,-1.0420895926377012,-1.077640952767608,-0.015631343889565517,-0.01616461429151412
2017-04-26 14:30:00+00:00,2017-04-28 08:00:00+00:00,1,1.2868,1.2774914285714287,1.2961085714285712,target,0.009308571428571222,46,1.0,0.9545267648864355,0.015,0.014317901473296531
2017-05-05 08:30:00+00:00,2017-05-11 11:00:00+00:00,1,1.2955,1.2906978571428571,1.2906978571428571,stop,0.004802142857142977,154,-1.0,-1.1236156031533457,-0.015,-0.016854234047300187
2017-05-18 08:30:00+00:00,2017-05-26 11:00:00+00:00,1,1.305,1.2858114285714286,1.2858114285714286,stop,0.019188571428571333,226,-1.0,-1.0335658725431849,-0.015,-0.015503488088147773
2017-06-09 07:00:00+00:00,2017-06-28 13:45:00+00:00,-1,1.2686,1.2971264285714286,1.2971264285714286,stop,0.02852642857142862,495,-1.0,-1.020036600145231,-0.015,-0.015300549002178464
2017-07-13 07:00:00+00:00,2017-07-14 14:00:00+00:00,1,1.2966,1.2842321428571428,1.3089678571428571,target,0.012367857142857153,64,1.0,0.9599456251804869,0.015,0.014399184377707302
