entry_time,exit_time,direction,entry,stop,exit,reason,r_price,holding_days,r_mult_gross,r_mult_net,pnl_frac_gross,pnl_frac_net
2016-01-20 20:15:00+00:00,2016-02-08 14:30:00+00:00,1,4167.25,3967.7410714285716,3943.75,stop,199.50892857142844,315,-1.120250615350191,-1.1458690176773345,-0.016803759230252863,-0.017188035265160016
2016-02-17 15:15:00+00:00,2016-06-27 15:00:00+00:00,1,4170.75,3876.535714285714,4170.75,trail,294.2142857142858,2331,0.0,-0.0084008497208054,0.0,-0.00012601274581208098
2016-07-08 13:30:00+00:00,2018-02-06 14:30:00+00:00,1,4487.25,4162.357142857143,6409.0,trail,324.8928571428569,10285,5.915026931955595,5.88231730240739,0.08872540397933391,0.08823475953611085
2018-02-14 18:30:00+00:00,2018-03-23 13:45:00+00:00,1,6660.0,6233.214285714285,6660.0,trail,426.7857142857147,649,0.0,-0.010179581589957723,0.0,-0.00015269372384936583
2018-04-11 16:00:00+00:00,2018-06-27 19:45:00+00:00,1,6654.0,6313.767857142857,6994.232142857143,trail,340.2321428571431,1408,1.0,0.9853708024982937,0.015,0.014780562037474404
2018-07-12 13:45:00+00:00,2018-07-17 13:30:00+00:00,1,7317.75,7229.732142857143,7296.5,trail,88.01785714285688,77,-0.24142828159870228,-0.2931101237573512,-0.003621424223980534,-0.004396651856360268
2018-08-07 13:30:00+00:00,2018-10-10 18:30:00+00:00,1,7471.75,7189.419642857143,7189.419642857143,stop,282.3303571428569,1178,-1.0,-1.0180767559533215,-0.015,-0.015271151339299821
2018-10-12 13:30:00+00:00,2018-10-24 19:15:00+00:00,1,7121.25,6877.098214285715,6877.098214285715,stop,244.15178571428532,231,-1.0,-1.0279020479063792,-0.015,-0.015418530718595688
2018-10-31 13:45:00+00:00,2018-11-19 20:45:00+00:00,1,6983.0,6636.482142857143,6636.482142857143,stop,346.5178571428569,362,-1.0,-1.0117943365112096,-0.015,-0.015176915047668145
2018-12-12 16:30:00+00:00,2018-12-17 14:30:00+00:00,1,6854.0,6518.928571428572,6518.928571428572,stop,335.07142857142844,70,-1.0,-1.016301875932637,-0.015,-0.015244528138989554
2018-12-27 20:45:00+00:00,2019-05-31 13:30:00+00:00,1,6302.75,5866.901785714285,7165.75,trail,435.8482142857147,2747,1.9800471166649578,1.9661446850353346,0.029700706749974368,0.029492170275530017
2019-06-05 13:30:00+00:00,2019-08-02 13:30:00+00:00,1,7205.75,6932.0625,7753.125,trail,273.6875,1043,2.0,1.9805585293445997,0.03,0.029708377940168996
2019-08-07 18:30:00+00:00,2019-08-14 15:00:00+00:00,1,7555.0,7373.25,7555.0,trail,181.75,116,0.0,-0.025094910591467803,0.0,-0.00037642365887201703
2019-08-22 13:30:00+00:00,2020-02-24 14:30:00+00:00,1,7769.0,7429.660714285715,9104.0,trail,339.3392857142853,3258,3.9341156659474863,3.9053102773246384,0.05901173498921229,0.05857965415986957
2020-03-02 20:45:00+00:00,2020-03-09 13:30:00+00:00,1,8876.25,8138.366071428572,7973.0,stop,737.8839285714284,105,-1.2241085149377444,-1.2465509674140596,-0.018361627724066167,-0.018698264511210892
2020-03-10 14:00:00+00:00,2020-03-12 13:30:00+00:00,1,8244.25,7880.928571428572,7505.5,stop,363.32142857142844,50,-2.0333235033913306,-2.059746318686722,-0.030499852550869958,-0.03089619478030083
2020-03-24 19:45:00+00:00,2020-09-04 13:45:00+00:00,1,7533.5,6725.607142857143,11572.964285714284,trail,807.8928571428569,2945,5.0,4.97954784934353,0.075,0.07469321774015295
2020-09-10 15:15:00+00:00,2020-09-10 17:45:00+00:00,1,11481.0,11317.848214285714,11317.848214285714,stop,163.15178571428623,10,-1.0,-1.056342532698519,-0.015,-0.015845137990477785
2020-10-09 13:30:00+00:00,2020-10-19 19:00:00+00:00,1,11620.0,11192.17857142857,11620.0,trail,427.82142857142935,178,0.0,-0.015395442023542871,0.0,-0.00023093163035314306
2020-11-04 14:30:00+00:00,2021-02-23 14:30:00+00:00,1,11612.5,10910.901785714286,13001.0,trail,701.5982142857138,1918,1.9790529276269755,1.9537730029651708,0.02968579391440463,0.029306595044477562
