bet_id,placed_at,sport_key,div,tier,commence_time,home,away,outcome,bookmaker,odds,fair_p_bet,ev,stake,pin_h,pin_d,pin_a,status,closed_at,fair_p_close,close_staleness_h,clv,result,ret
c977f7d4eb81e5bda007bc30b6c3b72c_A,2026-06-12T16:22:42.335823+00:00,soccer_finland_veikkausliiga,FIN,extension,2026-06-13T16:00:00Z,FC Lahti,SJK Seinäjoki,A,coolbet,3.25,0.3159209653644497,0.0267431374344615,0.0029714597149401,2.34,3.53,3.04,closed,2026-06-19T13:41:57.461925+00:00,0.3104966305246883,7.997548578333333,0.009114049205237,,
4d7d321d5949095c19e75b5d6bb194d7_D,2026-06-12T17:11:34.322047+00:00,soccer_league_of_ireland,IRL,extension,2026-06-12T19:00:00Z,Shelbourne Dublin,Shamrock Rovers,D,coolbet,3.4,0.306776548636161,0.0430402653629475,0.004483360975307,2.78,3.13,2.78,no_close,,,,,,
ed16ec7a06898877478abf59c3a74736_D,2026-06-13T08:00:08.825118+00:00,soccer_spain_segunda_division,SP2,validated,2026-06-14T19:00:00Z,Málaga,Almería,D,coolbet,3.4,0.3051922701585168,0.0376537185389573,0.003922262347808,2.23,3.11,3.57,no_close,,,,,,
44ecc570cc58ee6d89471a01bdfe7287_D,2026-06-19T13:41:44.826173+00:00,soccer_spain_segunda_division,SP2,validated,2026-06-20T19:00:00Z,Almería,Málaga,D,coolbet,3.6,0.285064925876304,0.0262337331546944,0.0025224743417975,2.17,3.32,3.47,closed,2026-06-21T08:00:15.516371+00:00,0.2807522798891843,1.6551195344444445,0.0107082076010633,,
63e1a41dfd589ee975cc5022d25914c5_H,2026-06-22T15:13:12.696046+00:00,soccer_finland_veikkausliiga,FIN,extension,2026-06-23T15:00:00Z,FC Lahti,TPS Turku,H,coolbet,1.85,0.5571375010987901,0.0307043770327617,0.0090306991272828,1.73,3.71,4.85,closed,2026-06-23T15:54:59.210859+00:00,0.5558004132759999,22.49676888333333,0.0282307645605999,,
d67eabbacba8b704b2a69707a8bec681_H,2026-06-23T15:54:47.467890+00:00,soccer_finland_veikkausliiga,FIN,extension,2026-06-23T16:00:00Z,Jaro,IF Gnistan,H,coolbet,3.9,0.2765710420928092,0.0786270641619559,0.0067781951863755,3.48,3.94,2.03,no_close,,,,,,
bf112f8e6ad000f9b7b7a3c8f507f10c_H,2026-06-23T16:30:07.058108+00:00,soccer_finland_veikkausliiga,FIN,extension,2026-06-23T17:00:00Z,IFK Mariehamn,HJK Helsinki,H,coolbet,8.9,0.114825977528531,0.0219512000039265,0.0006946582279723,8.0,6.05,1.34,no_close,,,,,,
