,gross_sumR,net_sumR
2018-05-08 00:00:00-04:00,-2.1050186612030983,-2.716019265159055
2018-05-09 00:00:00-04:00,0.02121096562627578,-0.370480397978715
2018-05-10 00:00:00-04:00,-3.631821448619468,-4.057709746902163
2018-05-11 00:00:00-04:00,7.569899820335936,6.989345100395407
2018-05-14 00:00:00-04:00,-3.42703232822223,-3.8309406889514195
2018-05-15 00:00:00-04:00,-1.1097211770676065,-1.4715190876983246
2018-05-16 00:00:00-04:00,0.025755940691581714,-0.4062281083480117
2018-05-17 00:00:00-04:00,-5.761813045711321,-6.437462349287964
2018-05-18 00:00:00-04:00,-4.166098606501616,-4.835645552489075
2018-05-21 00:00:00-04:00,4.325926600589815,3.681056684030817
2018-05-22 00:00:00-04:00,-2.8151553348221063,-3.311433287128295
2018-05-23 00:00:00-04:00,3.9091424815078835,3.3165341486445543
2018-05-24 00:00:00-04:00,-9.139240506329127,-9.930348022739294
2018-05-25 00:00:00-04:00,-0.9968346783113264,-1.4837835828506056
2018-05-29 00:00:00-04:00,-4.936230869727499,-5.382993631872445
2018-05-30 00:00:00-04:00,-0.42757391632309383,-1.1069752415825351
2018-05-31 00:00:00-04:00,-0.008391169315164593,-0.5421279274211857
2018-06-01 00:00:00-04:00,7.6809645220079545,7.285424223944055
2018-06-04 00:00:00-04:00,-2.272781913634645,-2.7110440608899187
2018-06-05 00:00:00-04:00,-1.1616291346932424,-1.7989065668618494
2018-06-06 00:00:00-04:00,9.726649718712299,9.302609001283823
2018-06-07 00:00:00-04:00,10.979356755162366,10.516114293295814
2018-06-08 00:00:00-04:00,0.5408259868133903,0.07672224418836293
2018-06-11 00:00:00-04:00,2.967536847549217,2.4451743678141655
2018-06-12 00:00:00-04:00,-3.2197657978642336,-3.9088978569333968
2018-06-13 00:00:00-04:00,12.396150993902129,11.938208848930076
2018-06-14 00:00:00-04:00,-1.4262795817252156,-1.8370374784927617
2018-06-15 00:00:00-04:00,0.057833975282182926,-0.3923191359552758
2018-06-18 00:00:00-04:00,6.215493555248804,5.824730380435819
2018-06-19 00:00:00-04:00,-0.6537552829059854,-1.0391426519857756
2018-06-20 00:00:00-04:00,0.6531853315509049,0.2507771845776017
2018-06-21 00:00:00-04:00,12.97068935932041,12.513056210605583
2018-06-22 00:00:00-04:00,2.9625808188907525,2.6950745129900864
2018-06-25 00:00:00-04:00,8.17792731094047,7.7827946262095
2018-06-26 00:00:00-04:00,-6.116242976881265,-6.683879177614126
2018-06-27 00:00:00-04:00,-1.295755708227185,-1.6968211740747123
2018-06-28 00:00:00-04:00,-0.6090146556638707,-0.941248898516696
2018-06-29 00:00:00-04:00,0.030634283531688844,-0.3733749519152451
2018-07-02 00:00:00-04:00,0.9375031052226979,0.5193627120621307
2018-07-03 00:00:00-04:00,1.5621566619904108,1.0713892887731757
2018-07-05 00:00:00-04:00,-0.264787814129809,-0.7990385685264212
2018-07-06 00:00:00-04:00,5.898526735446886,5.338788052599633
2018-07-09 00:00:00-04:00,3.942421711330417,3.3654432470141176
2018-07-10 00:00:00-04:00,-3.755354056622563,-4.262231626113799
2018-07-11 00:00:00-04:00,-1.492651616342553,-1.9870218310102692
2018-07-12 00:00:00-04:00,12.28333758552238,11.552777342861004
2018-07-13 00:00:00-04:00,4.606535427369168,3.924176056067462
2018-07-16 00:00:00-04:00,6.453158999083481,5.6657928529618955
2018-07-17 00:00:00-04:00,13.628059675568988,13.023102730749354
2018-07-18 00:00:00-04:00,-0.919815864372459,-1.3105368395082737
2018-07-19 00:00:00-04:00,3.771405231389998,3.373490858036897
2018-07-20 00:00:00-04:00,1.238063563225361,0.7975719516101349
2018-07-23 00:00:00-04:00,-6.320971473664972,-6.6609920618711085
2018-07-24 00:00:00-04:00,1.433688845761142,0.9270872338177383
2018-07-25 00:00:00-04:00,-3.8122256621946935,-4.455547058467495
2018-07-26 00:00:00-04:00,-3.9176786735276963,-4.197714109528164
2018-07-27 00:00:00-04:00,2.9093315127784667,2.602835504272161
2018-07-30 00:00:00-04:00,7.437221440871349,7.077591382679522
2018-07-31 00:00:00-04:00,-5.058391605698896,-5.446959669655982
2018-08-01 00:00:00-04:00,-0.29962885232722214,-0.6770969937977489
2018-08-02 00:00:00-04:00,9.091325282585215,8.686313311704353
2018-08-03 00:00:00-04:00,-5.364683119795253,-5.831179705010321
2018-08-06 00:00:00-04:00,-6.291247484909446,-6.847109439909511
2018-08-07 00:00:00-04:00,-3.7857759234485227,-4.348632329109524
2018-08-08 00:00:00-04:00,-3.7821520271485354,-4.385707090903734
2018-08-09 00:00:00-04:00,2.0575680231698117,1.6269887851651395
2018-08-10 00:00:00-04:00,-2.893217250456453,-3.3530503967563208
2018-08-13 00:00:00-04:00,-7.160271322280799,-7.800242681370714
2018-08-14 00:00:00-04:00,0.15316931739289896,-0.40172520191712646
2018-08-15 00:00:00-04:00,-2.5102377701114826,-3.0453586515248565
2018-08-16 00:00:00-04:00,16.408932723884895,15.541752204067446
2018-08-17 00:00:00-04:00,0.36477720121133794,-0.12055742999352692
2018-08-20 00:00:00-04:00,-4.2039276481123595,-4.679350482705157
2018-08-21 00:00:00-04:00,0.8960027439108107,0.3757291777740215
2018-08-22 00:00:00-04:00,2.4171178504311346,2.0189028625319816
2018-08-23 00:00:00-04:00,7.296006384033066,6.636761536004218
2018-08-24 00:00:00-04:00,3.5431614094913124,3.0961394888563802
2018-08-27 00:00:00-04:00,-4.228151941260989,-4.699101867480369
2018-08-28 00:00:00-04:00,-3.324558365765209,-3.9757230684999847
2018-08-29 00:00:00-04:00,12.42246795367137,11.800914420893752
2018-08-30 00:00:00-04:00,-3.540206036582907,-4.290080689737392
2018-08-31 00:00:00-04:00,7.809138007342305,7.00741391571291
2018-09-04 00:00:00-04:00,-4.104739829228791,-4.5598665970183285
2018-09-05 00:00:00-04:00,4.765801931555721,4.257312342183517
2018-09-06 00:00:00-04:00,2.680125445606391,2.0110996400100998
2018-09-07 00:00:00-04:00,0.4534139096211367,0.14775171065382353
2018-09-10 00:00:00-04:00,3.0874047088124703,2.6103269579694603
2018-09-11 00:00:00-04:00,2.802512060120349,2.3531978720058904
2018-09-12 00:00:00-04:00,-7.006783654121874,-7.335958444465339
2018-09-13 00:00:00-04:00,-4.768347027112808,-5.2840446652109545
2018-09-14 00:00:00-04:00,0.4880437783258411,0.02017435104047638
2018-09-17 00:00:00-04:00,7.250575037077691,6.699539790794413
2018-09-18 00:00:00-04:00,1.232072673200424,0.7381570807794675
2018-09-19 00:00:00-04:00,0.5813706290805214,-0.20559063872003902
2018-09-20 00:00:00-04:00,-5.488800230681554,-5.976038585125808
2018-09-21 00:00:00-04:00,-3.5107121524080425,-4.113552703408138
2018-09-24 00:00:00-04:00,5.873581828098563,5.497269365189096
2018-09-25 00:00:00-04:00,1.500139412842337,1.054513763244133
2018-09-26 00:00:00-04:00,0.6583911286652128,0.3147833101743438
2018-09-27 00:00:00-04:00,3.0700400197418154,2.469479491471252
2018-09-28 00:00:00-04:00,4.510257973753839,3.9284889453572047
2018-10-01 00:00:00-04:00,-1.5929586595913767,-2.056115913258164
2018-10-02 00:00:00-04:00,6.517339300137847,6.167424812387392
2018-10-03 00:00:00-04:00,-6.241532082641545,-6.8447794916132105
2018-10-04 00:00:00-04:00,2.0522078081093538,1.7095422856569782
