Date,net_return
2010-06-07,0.0
2010-06-08,0.0
2010-06-09,0.0
2010-06-10,0.0
2010-06-11,0.0
2010-06-13,0.0
2010-06-14,0.0
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,0.0
2010-06-20,0.0
2010-06-21,0.0
2010-06-22,0.0
2010-06-23,0.0
2010-06-24,0.0
2010-06-25,0.0
2010-06-27,0.0
2010-06-28,0.0
2010-06-29,0.0
2010-06-30,0.0
2010-07-01,-0.01708139142828135
2010-07-02,0.004441407592409963
2010-07-04,0.0006398391799841696
2010-07-05,-0.001863417949128393
2010-07-06,0.0034065967375615236
2010-07-07,-0.004097036836884671
2010-07-08,-0.003142344684285786
2010-07-09,0.009524082749401447
2010-07-11,-0.0030778002400359827
2010-07-12,0.012682170524298347
2010-07-13,-0.005446420058327461
2010-07-14,-0.008477511178323405
2010-07-15,2.726347719467226e-05
2010-07-16,0.0022519291476594816
2010-07-18,0.001218975262372024
2010-07-19,0.007566600698297787
2010-07-20,0.009165447213484834
2010-07-21,-0.008436558202638222
2010-07-22,-0.003385021035808594
2010-07-23,-0.0013165319216707216
2010-07-25,0.0006665773901386729
2010-07-26,-0.0026614783513731755
2010-07-27,-0.00013854748701130903
2010-07-28,-0.014724530548913678
2010-07-29,-0.006170608186674115
2010-07-30,-0.008423543479627649
2010-08-01,-0.00024206699434652285
2010-08-02,-0.02138770911681337
2010-08-03,0.0014451835737002983
2010-08-04,-0.026207880112040977
2010-08-05,-0.03826971817450492
2010-08-06,0.0314044015865482
2010-08-08,0.010055113574902158
2010-08-09,-0.01091380131798228
2010-08-10,0.006633677622376044
2010-08-11,0.011767356686848585
2010-08-12,0.0006844008561440462
2010-08-13,0.016039635453378054
2010-08-15,0.004483911490284792
2010-08-16,0.01047004476623048
2010-08-17,0.0051307365566274354
2010-08-18,-0.0028088311654777265
2010-08-19,-0.019709207886288382
2010-08-20,-0.0019841058565077674
2010-08-22,0.0009965333201076843
2010-08-23,0.0012849418790003841
2010-08-24,0.012803314241187441
2010-08-25,0.004857687069359878
2010-08-26,-0.011649547755801265
2010-08-27,-0.004174719787098408
2010-08-29,-0.005879515748264591
2010-08-30,0.002609891703534706
2010-08-31,0.006141187524196845
2010-09-01,-0.018385634012462536
2010-09-02,0.0052182848320256325
2010-09-03,-0.022687437996485538
2010-09-05,0.001446021575096379
2010-09-06,0.0006801845281469432
2010-09-07,-0.00833509577759492
2010-09-08,0.015489773558597847
2010-09-09,-0.011338114478699951
2010-09-10,-0.01852273904811033
2010-09-12,0.0002625915605856399
2010-09-13,-0.006494575620992371
2010-09-14,0.0019126762986211299
2010-09-15,0.0001484775292470708
2010-09-16,-0.004914182930492783
2010-09-17,0.0025191577849997537
2010-09-19,0.0018259351418395131
2010-09-20,0.01836629746215046
2010-09-21,-0.008247599085962037
2010-09-22,-0.0029196541846339408
2010-09-23,0.006249240505692227
2010-09-24,-0.004313618765924454
2010-09-26,0.004121597695888907
2010-09-27,0.011918178830492454
2010-09-28,9.945656593862706e-05
2010-09-29,-0.00837832389524043
2010-09-30,0.01905335465258398
2010-10-01,0.02621362229711417
2010-10-03,0.0038310950543876676
2010-10-04,-0.003042728733987421
2010-10-05,-0.009633907828753091
2010-10-06,0.005121576334577077
2010-10-07,0.001866121909015972
2010-10-08,-0.03493651411754772
2010-10-10,-0.021310482468675868
2010-10-11,0.014934036776489329
2010-10-12,-0.024222274033427804
2010-10-13,0.014321025456188602
2010-10-14,-0.005206976104495553
2010-10-15,0.0029764474732111024
2010-10-17,0.0026423677256016687
2010-10-18,0.015611406169686787
2010-10-19,-0.021906076596209495
2010-10-20,-0.015371265877080542
2010-10-21,0.01764591548700034
2010-10-22,0.012705806892961441
2010-10-24,0.0002479411690841926
2010-10-25,-0.004155776312063708
2010-10-26,-0.008611296869485918
2010-10-27,-0.007521758409625934
2010-10-28,-0.004260389238999102
2010-10-29,-0.005583551797870151
2010-10-31,-0.007491246411977348
2010-11-01,0.026058611076116674
2010-11-02,0.01119577303657297
2010-11-03,-0.00904845114602737
2010-11-04,0.029064102593345867
2010-11-05,-0.003405116577218944
2010-11-07,-0.003548795944233222
2010-11-08,-0.011788312014045621
2010-11-09,0.020359445742257492
2010-11-10,0.023887249137566013
2010-11-11,0.01611625042317248
2010-11-12,0.002053690462658714
2010-11-14,-0.0006127450980392505
2010-11-15,-0.005329838357361301
2010-11-16,0.004692598893363598
2010-11-17,-0.015875923927554103
2010-11-18,0.019895259992826077
2010-11-19,-0.015685029863062562
2010-11-21,-0.0010396673064619517
2010-11-22,-0.007573945627042944
2010-11-23,-0.0018432836838847186
2010-11-24,-0.0051682850736215116
2010-11-25,0.0
2010-11-26,-0.00015120586678762926
2010-11-28,0.0009823925035895205
2010-11-29,0.022958548082479175
2010-11-30,0.0210055249672505
2010-12-01,-0.003400054603498152
2010-12-02,0.016604514957132777
2010-12-03,-0.010223473336018724
2010-12-05,0.0012292038302717523
2010-12-06,-0.001709938767652991
2010-12-07,-0.009669075910915786
2010-12-08,-0.005695378753329955
2010-12-09,0.0008154200783277166
2010-12-10,0.0059544159622635096
2010-12-12,-0.0019047782116339562
2010-12-13,0.006758212757553894
2010-12-14,0.005968744149585203
2010-12-15,-0.005927390240992925
