entry_date,exit_date,direction,holding_days,gross_return,pnl
2000-07-18,2000-08-30,1,31,-0.24277753884630082,-0.24327753884630082
2001-07-17,2001-08-30,1,32,-0.010526301187761877,-0.011026301187761878
2002-07-16,2002-08-30,1,33,0.03571428571428581,0.03521428571428581
2003-07-16,2003-09-02,1,33,0.0073770616875323825,0.006877061687532383
2004-07-16,2004-08-31,1,32,-0.02207970783112856,-0.02257970783112856
2005-07-18,2005-08-30,1,31,-0.1031477145363573,-0.1036477145363573
2006-07-18,2006-08-30,1,31,0.0788512068068703,0.0783512068068703
2007-07-17,2007-08-30,1,32,0.031121295431385088,0.030621295431385087
2008-07-16,2008-09-02,1,33,0.024548692393389526,0.024048692393389526
2009-07-16,2009-09-01,1,33,0.04539558954372591,0.04489558954372591
2010-07-16,2010-08-31,1,32,0.08950242552706533,0.08900242552706533
2011-07-18,2011-08-30,1,31,0.12829146214119636,0.12779146214119635
2012-07-17,2012-08-30,1,32,-0.08846896129985005,-0.08896896129985005
2013-07-16,2013-08-30,1,33,-0.07933278990193471,-0.07983278990193471
2014-07-16,2014-09-02,1,33,0.22804270699735119,0.22754270699735119
2015-07-16,2015-09-01,1,33,-0.05820310115814209,-0.05870310115814209
2016-07-18,2016-08-30,1,31,-0.011667789868561762,-0.012167789868561762
2017-07-18,2017-08-30,1,31,-0.03230710681418869,-0.03280710681418869
2018-07-17,2018-08-30,1,32,-0.08189851719216101,-0.08239851719216101
2019-07-16,2019-08-30,1,33,-0.15533089202064898,-0.15583089202064898
2020-07-16,2020-09-01,1,33,0.3527879852020761,0.3522879852020761
2021-07-16,2021-08-31,1,32,0.2581262050699644,0.2576262050699644
2022-07-18,2022-08-30,1,31,0.1806578478305454,0.1801578478305454
2023-07-18,2023-08-30,1,31,-0.021970881398929665,-0.022470881398929665
2024-07-16,2024-08-30,1,33,0.03133323508710362,0.030833235087103616
2025-07-16,2025-09-02,1,33,0.31581564347617563,0.31531564347617563
