exit,n_trades,win_rate,expectancy_pct,avg_hold,sharpe,cagr,max_dd,perm_p,boot_ci,sharpe_is,sharpe_oos,exp_is_pct,exp_oos_pct
17.01.,27,0.9259259259259259,5.080757121850534,18.333333333333332,0.45481429640177434,0.05677328864838116,-0.17554806489587782,0.0014992503748125937,"[0.0373798501929144, 0.8709985490370382]",0.6887200981036198,0.3586088602845942,4.755655434951963,5.430866630818225
13.01.,27,0.8888888888888888,4.461250486744933,15.88888888888889,0.3935224795404365,0.04987434166530047,-0.17554806489587782,0.0034982508745627187,"[-0.01693615518623966, 0.8048508430347873]",0.6417414069445464,0.29193455120320616,4.331006391071189,4.601513359008965
10.01.,27,0.8518518518518519,4.201040389212038,13.777777777777779,0.3690606449998758,0.04701476240442237,-0.17554806489587782,0.0034982508745627187,"[-0.03437462318485445, 0.7838504564434498]",0.5267074714073116,0.3142374632772054,3.6954654255240227,4.745505734722206
05.01.,27,0.7777777777777778,3.4484030208257757,10.185185185185185,0.27957537592820647,0.03813619614969399,-0.17554806489587782,0.0079960019990005,"[-0.10882155226087772, 0.6832537922403267]",0.06242946285902309,0.3930960013185109,1.7231082966177653,5.306412723819017
31.12.,26,0.9230769230769231,2.6110960604995346,7.8076923076923075,0.16109967079374699,0.028449224827329145,-0.1755480648958777,0.015992003998001,"[-0.226985273392909, 0.5972351222685135]",0.12178988892413868,0.1882864381241063,2.018100404037227,3.204091716961841
28.12.,24,0.75,1.404647932782097,6.291666666666667,-0.0824542353454095,0.013828306184712869,-0.14727321374033786,0.10294852573713144,"[-0.4678680860595122, 0.3279278071448332]",-0.4263162693845316,0.05239764066166469,0.527835909955178,2.1465657982510282
