ticker,ref_date,release_date,sue,entry_date,raw_5,exc_5,raw_22,exc_22,raw_66,exc_66
MSFT,2009-09-30,2009-10-23,-1.0079052613579391,2009-10-23,-0.010349657135731327,0.031470850786551874,0.07217044509177217,0.04524560903787611,0.010155667113857625,0.011190117753792306
MSFT,2009-12-31,2010-01-28,3.909350184867626,2010-01-28,-0.04526778890774241,-0.025648927925687404,-0.019441750135540836,-0.05287619848268643,0.03809649735349163,-0.04879623379530784
LMT,2010-03-28,2010-04-21,-0.948504013668671,2010-04-21,-0.01495605150439927,-0.004347757833220056,-0.05901385321917074,0.0367097373071571,-0.12491085608781827,-0.0538909692402576
MSFT,2010-03-31,2010-04-22,0.7937336614214135,2010-04-22,-0.012424136971555977,-0.011102296343093898,-0.159332823982817,-0.04935103505826899,-0.1628530814771425,-0.08898717047402971
DHR,2010-04-02,2010-04-22,0.591893924636858,2010-04-22,0.007346682074614197,0.008668522703076276,-0.06706951858094556,0.042912270343602454,-0.0916144598432892,-0.017748548840176404
ABT,2010-03-31,2010-05-04,-1.5989126740164499,2010-05-04,-0.01574021698566619,-0.0013596140362185372,-0.07292278271164387,0.01812545094567586,0.016928485145528915,0.0560306531494823
LMT,2010-06-27,2010-07-29,1.6398798600309088,2010-07-29,0.001067266244966003,-0.02214407560031062,-0.05486972275553159,-0.009715766424678307,-0.03804512787964165,-0.11851057533398524
MSFT,2010-06-30,2010-07-30,1.1587489439236818,2010-07-30,-0.01007357136966125,-0.029298850139319765,-0.08581190790518722,-0.040831145740632624,0.06687756981623205,-0.022353834228172387
CVX,2010-06-30,2010-08-05,1.1382297078042625,2010-08-05,-0.025293814330598408,0.012100985004944276,-0.01643395828998595,0.01201083619145038,0.08249713414945048,-0.008736869241617429
ABT,2010-06-30,2010-08-05,0.0,2010-08-05,0.00820293242280945,0.045597731758352134,0.01020364764788484,0.03864844212932117,0.017772407899184328,-0.07346159549188358
DHR,2010-07-02,2010-08-11,-0.9785236277265105,2010-08-11,-0.005326052609123,-0.009809177020333237,0.07057274949225723,0.0392827917723102,0.16035269043489864,0.05474003282787354
NVDA,2010-08-01,2010-08-30,-0.2017733089221273,2010-08-30,0.03630687295089374,-0.004809977358714912,0.21161832898540434,0.12206354335536096,0.4917017530450132,0.3216689682428193
ADBE,2010-09-03,2010-10-08,2.1682550838928254,2010-10-08,0.04038533389519672,0.03043177543852793,0.09262689963692528,0.04912239272486607,0.24379399701763882,0.13467931578632641
