,entry_date,exit_date,direction,holding_days,gross_return,pnl
0,2000-08-08,2000-10-13,1,47,0.06064601658978441,0.05984601658978441
1,2001-06-05,2001-08-24,1,57,-0.07355090980898371,-0.0743509098089837
2,2001-10-02,2001-11-02,1,23,-0.09819815691694544,-0.09899815691694544
3,2002-07-02,2002-08-06,1,23,-0.023841016215158106,-0.024641016215158105
4,2004-06-15,2004-07-19,1,23,-0.1748081038225906,-0.1756081038225906
5,2004-10-12,2004-11-12,1,23,-0.05674977136007009,-0.05754977136007009
6,2005-06-01,2005-07-05,1,23,0.0721628737721054,0.0713628737721054
7,2005-07-06,2005-08-08,1,23,-0.04688996675482204,-0.047689966754822045
8,2006-06-20,2006-07-24,1,23,0.05304512509433734,0.05224512509433734
9,2008-06-17,2008-07-21,1,23,-0.0572233196903299,-0.0580233196903299
10,2010-09-28,2010-10-29,1,23,0.14868309217998177,0.14788309217998177
11,2012-06-05,2012-07-16,1,28,0.04713269246269669,0.04633269246269669
12,2012-08-07,2012-09-10,1,23,0.007987199842699688,0.007187199842699688
13,2017-06-20,2017-07-24,1,23,-0.031517019459818885,-0.03231701945981889
14,2017-10-03,2017-11-03,1,23,0.01290329797932821,0.01210329797932821
15,2018-06-19,2018-07-23,1,23,0.0048098736877368875,0.004009873687736887
16,2018-09-05,2018-10-08,1,23,-0.07598454950811695,-0.07678454950811694
17,2019-08-06,2019-09-30,1,38,0.03298221123199463,0.03218221123199463
18,2020-06-23,2020-07-27,1,23,-0.040946918658781195,-0.0417469186587812
19,2020-08-04,2020-09-04,1,23,0.00047225868992084585,-0.0003277413100791542
20,2021-09-08,2021-10-11,1,23,0.1592075697408677,0.1584075697408677
21,2022-06-22,2022-07-26,1,23,-0.3204654701702946,-0.3212654701702946
22,2022-08-09,2022-09-12,1,23,0.07816494062696844,0.07736494062696844
23,2023-07-18,2023-09-01,1,33,0.055216202279387394,0.05441620227938739
24,2024-06-11,2024-09-09,1,61,-0.06531116796355474,-0.06611116796355473
25,2024-09-10,2024-10-25,1,33,0.05907607062013409,0.05827607062013409
26,2024-10-29,2024-12-02,1,23,0.042495705483686974,0.04169570548368697
27,2025-09-23,2025-10-24,1,23,-0.0038868159388398826,-0.004686815938839883
