entry_date,exit_date,direction,holding_days,gross_return,pnl,market
2011-01-04,2011-05-03,1,82,0.07683409620854476,0.07637007957109317,SPY
2011-11-02,2012-05-02,1,124,0.1660107339151049,0.16554671727765333,SPY
2012-11-02,2013-05-02,1,123,0.12099406399876389,0.1205300473613123,SPY
2013-11-04,2014-05-02,1,123,0.07932698723438025,0.07886297059692866,SPY
2014-11-04,2015-05-04,1,123,0.054809190782037165,0.05434517414458558,SPY
2015-11-03,2016-05-03,1,124,-0.0004907130081596156,-0.0009547296456112002,SPY
2016-11-02,2017-05-02,1,123,0.1427482925797725,0.14228427594232093,SPY
2017-11-02,2018-05-02,1,123,0.03849112677102795,0.03802711013357637,SPY
2018-11-02,2019-05-02,1,122,0.07786495669330562,0.07740094005585403,SPY
2019-11-04,2020-05-04,1,124,-0.06627217079859404,-0.06673618743604563,SPY
2020-11-03,2021-05-04,1,124,0.2760694823282208,0.2756054656907692,SPY
2021-11-02,2022-05-03,1,125,-0.09306078650728278,-0.09352480314473437,SPY
2022-11-02,2023-05-02,1,123,0.08969920729865377,0.08923519066120218,SPY
2023-11-02,2024-05-02,1,124,0.19230466394499945,0.19184064730754788,SPY
2024-11-04,2025-05-02,1,122,-0.015768986137400853,-0.01623300277485244,SPY
2025-11-04,2026-05-04,1,123,0.06060433210823657,0.06014031547078499,SPY
2011-01-04,2011-05-03,1,82,0.06767681093857436,0.06720539519183251,QQQ
2011-11-02,2012-05-02,1,124,0.1913507604025182,0.19087934465577633,QQQ
2012-11-02,2013-05-02,1,123,0.0770586281540917,0.07658721240734985,QQQ
2013-11-04,2014-05-02,1,123,0.06865518364203105,0.0681837678952892,QQQ
2014-11-04,2015-05-04,1,123,0.07874186213509105,0.0782704463883492,QQQ
2015-11-03,2016-05-03,1,124,-0.06322756590188294,-0.0636989816486248,QQQ
2016-11-02,2017-05-02,1,123,0.18759744399844647,0.1871260282517046,QQQ
2017-11-02,2018-05-02,1,123,0.07419481362203206,0.07372339787529021,QQQ
2018-11-02,2019-05-02,1,122,0.10319327058663852,0.10272185483989667,QQQ
2019-11-04,2020-05-04,1,124,0.07434796169286217,0.07387654594612032,QQQ
2020-11-03,2021-05-04,1,124,0.24907326020208198,0.24860184445534012,QQQ
2021-11-02,2022-05-03,1,125,-0.17590007802152852,-0.17637149376827038,QQQ
2022-11-02,2023-05-02,1,123,0.175752881346672,0.17528146559993013,QQQ
2023-11-02,2024-05-02,1,124,0.18540720316975734,0.18493578742301547,QQQ
2024-11-04,2025-05-02,1,122,-0.008727027089453054,-0.009198442836194913,QQQ
2025-11-04,2026-05-04,1,123,0.06927883699425297,0.06880742124751112,QQQ
2011-01-04,2011-05-03,1,83,0.0769556355897747,0.07651509098452125,^GDAXI
2011-11-02,2012-05-03,1,127,0.15018575494875042,0.14974521034349697,^GDAXI
2012-11-02,2013-05-03,1,122,0.0853419041109853,0.08490135950573185,^GDAXI
2013-11-04,2014-05-05,1,122,0.06085699312382098,0.060416448518567534,^GDAXI
2014-11-04,2015-05-05,1,122,0.25596910449631394,0.2555285598910605,^GDAXI
2015-11-03,2016-05-03,1,124,-0.07555705692235226,-0.07599760152760571,^GDAXI
2016-11-02,2017-05-03,1,126,0.188268105838989,0.18782756123373556,^GDAXI
2017-11-02,2018-05-03,1,124,-0.049256194319370006,-0.04969673892462345,^GDAXI
2018-11-02,2019-05-03,1,122,0.0764595911795043,0.07601904657425085,^GDAXI
2019-11-04,2020-05-05,1,123,-0.192441973265,-0.19288251787025346,^GDAXI
2020-11-03,2021-05-04,1,124,0.29250996524868933,0.2920694206434359,^GDAXI
2021-11-02,2022-05-03,1,126,-0.11813143514056768,-0.11857197974582112,^GDAXI
2022-11-02,2023-05-03,1,126,0.17904240980403174,0.1786018651987783,^GDAXI
2023-11-02,2024-05-03,1,125,0.19923452179992562,0.19879397719467218,^GDAXI
2024-11-04,2025-05-05,1,122,0.19899691080174664,0.1985563661964932,^GDAXI
2025-11-04,2026-05-05,1,122,-0.005848592166558975,-0.006289136771812421,^GDAXI
2011-01-05,2011-05-04,1,81,0.011473420096851816,0.01103243281983076,^FTSE
2011-11-02,2012-05-02,1,125,0.07204516943717554,0.07160418216015448,^FTSE
2012-11-02,2013-05-02,1,124,0.10054758903475847,0.1001066017577374,^FTSE
2013-11-04,2014-05-02,1,124,0.01101752192070804,0.010576534643686984,^FTSE
2014-11-04,2015-05-05,1,124,0.07675709001233133,0.07631610273531027,^FTSE
