entry_date,exit_date,direction,holding_days,gross_return,pnl
2001-01-10,2001-01-30,1,13,-0.017570139091705794,-0.018070139091705795
2002-01-29,2002-02-19,1,14,0.07222424356866441,0.07172424356866441
2003-01-21,2003-02-05,1,11,0.06281546133788352,0.062315461337883515
2004-01-08,2004-01-27,1,12,-0.03626448924937109,-0.03676448924937109
2005-01-26,2005-02-15,1,14,0.009004710409878491,0.008504710409878491
2006-01-18,2006-02-02,1,11,0.028912177980008114,0.028412177980008113
2007-02-06,2007-02-22,1,11,0.04501457473341608,0.04451457473341608
2008-01-24,2008-02-12,1,13,0.04577906449185498,0.04527906449185498
2009-01-13,2009-01-30,1,12,0.10337680001815519,0.10287680001815519
2010-02-02,2010-02-18,1,11,0.013764330797599422,0.013264330797599422
2011-01-20,2011-02-08,1,13,-0.016493925260038456,-0.016993925260038456
2012-01-10,2012-01-27,1,12,0.07390360735808743,0.07340360735808743
2013-01-29,2013-02-14,1,12,-0.004962523070099589,-0.00546252307009959
2014-01-17,2014-02-04,1,11,0.016451632591986343,0.015951632591986342
2015-02-05,2015-02-24,1,12,-0.05024529003530365,-0.05074529003530365
2016-01-26,2016-02-12,1,13,0.12809625700315297,0.12759625700315297
2017-01-17,2017-02-01,1,11,0.011126852015819644,0.010626852015819643
2018-02-02,2018-02-21,1,12,-0.01153016397902562,-0.012030163979025621
2019-01-23,2019-02-11,1,13,0.0243274473075048,0.0238274473075048
2020-01-13,2020-01-29,1,11,0.00751200717295375,0.007012007172953749
2021-01-29,2021-02-17,1,12,-0.022144878775526955,-0.022644878775526955
2022-01-19,2022-02-07,1,13,-0.0031452149691622022,-0.0036452149691622022
2023-01-10,2023-01-26,1,11,0.03657820354891084,0.03607820354891084
2024-01-29,2024-02-14,1,12,-0.011850467986626034,-0.012350467986626035
2025-01-15,2025-02-04,1,13,0.058412661939776234,0.05791266193977623
2026-02-03,2026-02-23,1,13,0.09449427900216367,0.09399427900216367
