ticker,entry_date,exit_date,shares,entry,exit,reason,r_mult,pnl,pnl_pct,holding_days,final
UPS,2000-04-26,2000-05-05,86,31.20274171478012,28.035531229166494,ma_exit,-0.36526109244571164,-274.71033903418925,-0.10150423685728173,7,True
BA,2000-04-24,2000-05-11,133,25.94820250772407,24.09316864844343,ma_exit,-0.3291084119486883,-249.7802640407314,-0.07148987906690052,13,True
AMGN,2000-06-05,2000-06-13,63,44.684699326059246,40.86656211468291,ma_exit,-0.32384380905816035,-242.96735774735473,-0.08544618782182732,6,True
PNC,2000-06-01,2000-06-28,159,22.908378841440207,22.936720339164204,ma_exit,0.006053956023660021,1.0606994918062769,0.0012371673229328625,19,True
XOM,2000-06-19,2000-06-28,344,18.450520250965674,18.038372383814423,ma_exit,-0.19017028076318185,-148.20356360126704,-0.022338007901412972,7,True
MRK,2000-07-03,2000-07-14,183,28.392253103385467,25.77930793768262,ma_exit,-0.6421789983692746,-482.6222519381859,-0.09203021529106056,9,True
JNJ,2000-06-27,2000-07-17,192,24.107188210794707,23.522293601299843,ma_exit,-0.1505025888959328,-116.57012038554892,-0.024262249266920305,14,True
ABT,2000-07-03,2000-07-19,397,10.240385628580455,9.805052280785171,ma_exit,-0.23129650928740686,-178.1529115067336,-0.042511421306272716,12,True
AMT,2000-07-11,2000-07-31,93,33.52440844411435,30.162990867570258,ma_exit,-0.41988777859883536,-315.2071716221163,-0.10026776705538656,14,True
SYK,2000-06-16,2000-08-01,187,16.434217511647617,16.53277963399887,ma_exit,0.024721886915738314,15.14937177048898,0.005997372389734938,32,True
WMT,2000-07-10,2000-08-01,325,13.03315239678131,11.467052567014601,ma_exit,-0.6804948385863943,-513.805465990415,-0.12016278043011873,16,True
BLK,2000-06-06,2000-08-08,198,15.904547801818126,19.23340409427541,ma_exit,0.8849555988250954,655.501205274406,0.20930216526349446,45,True
AIG,2000-07-28,2000-08-25,4,1013.8300487065636,1001.1267426371662,ma_exit,-0.08154470284967302,-54.09236897050957,-0.012530015346856386,20,True
LMT,2000-07-17,2000-08-30,319,13.684790324695005,14.290502126029368,ma_exit,0.26000191372797404,188.13334677229207,0.04426167935078415,32,True
DHR,2000-08-07,2000-09-11,760,5.374682776604383,5.27538369957361,ma_exit,-0.10161093844779731,-83.37739471039406,-0.018475337272557745,25,True
SLB,2000-08-10,2000-09-14,175,24.462442297568263,25.043703608271834,ma_exit,0.1369148884549995,97.72338520239786,0.02376137687451397,25,True
GE,2000-08-10,2000-09-18,31,145.45693200730267,147.57203224030567,ma_exit,0.09007527027013687,61.9612598977569,0.014541075518469046,27,True
WFC,2000-09-12,2000-09-19,430,11.60883230783357,11.128368244376235,ma_exit,-0.26862127857183715,-212.7381860826381,-0.04138780290013499,5,True
FCX,2000-09-01,2000-09-20,1854,2.726040077209473,2.6357737994022505,ma_exit,-0.22104289903022878,-183.51273599130636,-0.033112601154280864,13,True
LOW,2000-09-11,2000-09-20,425,8.894457745667241,8.2094300968105,ma_exit,-0.38107951660177813,-296.4378795106917,-0.07701735939894012,7,True
MET,2000-08-09,2000-09-22,280,11.248756183520706,11.55114305477231,ma_exit,0.11389554268132758,80.6654529786982,0.026881805091890747,32,True
COP,2000-08-16,2000-09-25,393,9.559125082973589,10.17957086985189,ma_exit,0.3274005819877373,238.6018558401451,0.06490612702447211,28,True
SO,2000-08-03,2000-10-04,1012,5.008838413916215,5.9315180428182455,ma_exit,1.2619378050117651,923.124859413906,0.1842103004038861,44,True
SPGI,2000-08-29,2000-10-05,256,19.915926142436703,19.976335976482535,ma_exit,0.020567599894245565,10.404943402950986,0.0030332425222802284,27,True
WFC,2000-10-04,2000-10-11,498,11.903321283881798,11.035371807565717,ma_exit,-0.5676052678709548,-439.3803493364615,-0.0729165798029299,5,True
AIG,2000-09-13,2000-10-13,4,1088.0746468276354,1060.2131232417923,ma_exit,-0.1521630730322489,-114.89590268906122,-0.02560626117617526,22,True
ADBE,2000-09-19,2000-10-13,72,35.60606926694232,32.56936763135859,ma_exit,-0.2881557528193242,-220.91327982816557,-0.08528606774359931,18,True
CMCSA,2000-10-02,2000-10-17,344,8.637341910109152,8.015247098891598,ma_exit,-0.2802346140387884,-218.24173205694942,-0.07202387235469443,11,True
ITW,2000-10-06,2000-10-20,272,17.07260001771415,15.781408150990803,ma_exit,-0.46360691033955437,-355.96780061975494,-0.07562948030081162,10,True
DUK,2000-07-20,2000-10-27,293,17.274801300805255,21.849353142907447,ma_exit,1.815810899447912,1334.6244090152998,0.26481067784489953,71,True
PG,2000-09-29,2000-11-02,250,16.872499465942383,17.39624676182386,ma_exit,0.17159906199125544,126.44532427214813,0.031041476512633854,24,True
LMT,2000-09-22,2000-11-06,344,15.683904922548146,16.85048144760426,ma_exit,0.5356364590231949,395.31293936767656,0.07438048947739866,31,True
