ticker,entry_date,exit_date,shares,entry,exit,reason,r_mult,pnl,pnl_pct,holding_days,final
USB,2001-08-11,2001-09-22,248,10.682250502714933,8.710002856368725,ma_exit,-0.6534417464075427,-492.3923855204365,-0.18462847747719024,30,True
CAT,2002-03-02,2002-06-01,151,15.593807688956078,14.612685442188425,ma_exit,-0.1985324560455727,-150.66603701001245,-0.06291742634882613,65,True
ETN,2002-02-23,2002-06-15,205,10.872504896801686,10.287336301640384,ma_exit,-0.16137341482771636,-122.78264759068487,-0.05382095485038035,80,True
USB,2002-04-20,2002-07-13,206,10.627838599483024,9.496068330769452,ma_exit,-0.31322637785904817,-235.91324329983803,-0.10649110429364492,60,True
MMM,2003-03-22,2003-04-26,121,28.803320570707637,26.847487190625316,ma_exit,-0.3208303182747065,-239.65763826647967,-0.06790305219431408,25,True
SO,2003-05-24,2003-07-26,273,11.174641157312278,10.489742795284723,ma_exit,-0.2530639089894161,-190.7808534156214,-0.061290412138145706,45,True
MRK,2003-06-21,2003-08-02,129,24.93247335450623,21.598830399674654,ma_exit,-0.581616967851868,-432.8637533922457,-0.13370686924765374,30,True
PFE,2003-06-21,2003-08-16,243,12.995791899010465,11.72015953974989,ma_exit,-0.4183517225844638,-313.60157568419777,-0.0981573396352788,40,True
NEM,2003-06-07,2004-03-13,101,21.82935139856771,28.532481381910348,ma_exit,0.9211270862025254,674.6814338821414,0.3070695899733627,200,True
PH,2004-10-09,2005-01-22,127,29.115609581798196,30.411640334267908,ma_exit,0.2244831138232438,161.28771812706444,0.044513261823648474,75,True
UNP,2004-10-09,2005-01-29,520,9.934369760689988,9.593046222218009,ma_exit,-0.24033184577210354,-184.377602024985,-0.03435784520751244,80,True
MCD,2004-11-06,2005-04-16,223,16.666508299764008,16.836272171598758,ma_exit,0.05075017761350593,33.90558500471277,0.010185929096927497,115,True
UNP,2005-03-26,2005-04-16,289,11.212673111238107,10.265144174654251,ma_exit,-0.37031832430836953,-277.84513121533365,-0.0845051779520958,15,True
MSFT,2005-08-06,2005-09-24,224,19.1851885760009,17.5809052558565,ma_exit,-0.48759025795847344,-363.5628573182132,-0.08362093047921497,35,True
SYK,2005-07-23,2005-10-08,82,42.11563855235557,37.645581489088805,ma_exit,-0.4999991073011684,-369.33761360176226,-0.10613770126528807,55,True
SHW,2006-01-28,2006-02-18,223,13.302149541218173,9.942238511115812,stop,-1.0,-752.4798792442408,-0.2525840669352954,15,True
GILD,2005-04-23,2006-05-06,422,6.835743803650462,9.714771582126776,ma_exit,1.6502182696635208,1209.7607409193092,0.4211725689512881,270,True
PLD,2005-06-11,2006-05-20,190,21.384838747297014,24.98841073146905,ma_exit,0.9309725687385604,680.5291834243776,0.1685105988759217,245,True
TXN,2006-04-22,2006-05-20,139,21.64889887525316,19.63757751107815,ma_exit,-0.372640693786722,-282.3830920899905,-0.09290640488298232,20,True
ITW,2006-03-11,2006-07-08,147,28.328499062018924,28.442585316890447,ma_exit,0.022535038507944555,13.071167656930037,0.004027260837990638,85,True
MMM,2006-04-22,2006-07-08,94,38.899710949411215,34.67078387280381,ma_exit,-0.5318431598004361,-400.4321456853483,-0.10871358612682479,55,True
WMT,2006-10-28,2006-11-11,402,11.018535496135007,10.402913635591187,ma_exit,-0.3299702950097034,-253.049643154921,-0.05587147772585232,10,True
