Date,gross_return,net_return
1999-03-23,-0.029813664596273215,-0.030113664596273217
1999-03-26,-0.002409638554217053,-0.002709638554217053
1999-04-12,0.017201834862385468,0.016901834862385466
1999-04-20,0.027249683143219183,0.02694968314321918
1999-04-23,0.018411967779056404,0.018111967779056402
1999-04-28,-0.026018099547511442,-0.026318099547511443
1999-04-29,-0.003500583430571691,-0.003800583430571691
1999-05-06,-0.027357392316647355,-0.027657392316647357
1999-05-14,0.0005854800936768711,0.0002854800936768712
1999-05-17,0.02700708382526562,0.02670708382526562
1999-06-10,-0.0008907363420427306,-0.0011907363420427305
2000-04-05,0.02692307692307705,0.026623076923077048
2000-04-11,0.006435006435006496,0.006135006435006496
2000-04-14,-0.06608569353667393,-0.06638569353667392
2000-04-17,0.14880833166433005,0.14850833166433006
2000-04-24,0.01573033707865168,0.01543033707865168
2000-04-27,0.08630952380952372,0.08600952380952373
2000-05-02,-0.050065876152832756,-0.05036587615283276
2000-05-03,-0.0041899441340781385,-0.004489944134078138
2000-05-05,0.0375886524822695,0.0372886524822695
2000-05-08,-0.029005524861878462,-0.029305524861878464
2000-05-10,-0.05481481481481465,-0.05511481481481465
2000-05-17,-0.003501400560224077,-0.003801400560224077
2000-05-19,-0.02462686567164185,-0.024926865671641853
2000-05-31,-0.01590825009248975,-0.016208250092489752
2000-08-02,-0.013513513513513487,-0.013813513513513486
2000-08-03,0.07344213649851628,0.07314213649851628
2000-08-11,0.020308123249299648,0.020008123249299646
2000-08-17,0.030262273032952258,0.029962273032952257
2000-09-11,-0.017857142857143016,-0.018157142857143017
2000-09-13,0.03601108033240985,0.03571108033240985
2000-09-21,-0.06399999999999995,-0.06429999999999994
2000-09-28,0.03205353997886573,0.03175353997886573
2000-10-04,0.025449101796407136,0.025149101796407135
2000-10-05,0.007331378299120228,0.007031378299120228
2000-10-09,0.0007570022710068347,0.00045700227100683473
2000-10-10,-0.04278074866310155,-0.043080748663101555
2000-10-11,0.0024390243902439046,0.0021390243902439047
2000-10-13,0.08786610878661083,0.08756610878661084
2000-10-18,0.016286644951140072,0.01598664495114007
2000-10-20,0.02144970414201186,0.02114970414201186
2000-10-25,-0.041538461538461524,-0.041838461538461526
2000-10-30,-0.01818545163868912,-0.018485451638689122
2000-11-01,0.008560311284046662,0.008260311284046662
2000-11-07,0.008442056792018482,0.008142056792018482
2000-11-09,0.012541806020066826,0.012241806020066826
2000-11-10,-0.03367003367003363,-0.03397003367003363
2000-11-13,0.012772517066725442,0.012472517066725442
2000-11-16,-0.03316749585406309,-0.03346749585406309
2000-11-20,-0.015198237885462595,-0.015498237885462595
2000-11-22,-0.026484018264840148,-0.02678401826484015
2000-11-28,-0.05054397098821395,-0.05084397098821395
2000-11-30,0.01998987854251011,0.019689878542510107
2000-12-07,-0.00746268656716409,-0.0077626865671640895
2000-12-12,-0.02508503401360551,-0.025385034013605513
2000-12-15,-0.0058365758754862496,-0.0061365758754862495
2000-12-19,-0.06820980054173853,-0.06850980054173852
2000-12-20,-0.02753544165757904,-0.027835441657579042
2000-12-21,0.019028685032661086,0.018728685032661084
2000-12-27,0.03141361256544495,0.031113612565444947
2000-12-28,0.010796915167095245,0.010496915167095245
2001-01-03,0.1964071856287426,0.1961071856287426
2001-01-04,-0.005070993914807254,-0.0053709939148072535
2001-01-08,0.01664816870144281,0.01634816870144281
2001-01-10,0.07238307349665929,0.0720830734966593
2001-01-11,0.04508304771948324,0.044783047719483236
2001-01-26,0.031219272369714668,0.030919272369714666
2001-02-05,0.005066209842268465,0.0047662098422684655
2001-02-07,0.0014873600245310925,0.0011873600245310926
2001-02-09,-0.031759630457014576,-0.03205963045701458
2001-02-16,-0.014831987668629587,-0.015131987668629587
2001-02-21,-0.0009699173191181076,-0.0012699173191181076
2001-02-23,0.021760833485075848,0.021460833485075846
2001-02-27,-0.04928212786977515,-0.04958212786977515
2001-03-01,0.03896099571636391,0.03866099571636391
2001-03-02,-0.010593220167754547,-0.010893220167754547
2001-03-09,-0.045502677796378954,-0.045802677796378956
2001-03-12,-0.03863638097589661,-0.03893638097589661
2001-03-14,0.024590145627628957,0.024290145627628955
2001-03-16,-0.01623687411253405,-0.01653687411253405
2001-03-28,-0.05250598288357233,-0.052805982883572335
2001-03-29,-0.010919255802761652,-0.011219255802761651
2001-04-03,-0.06827959310306853,-0.06857959310306852
2001-04-06,-0.025745277063828675,-0.026045277063828677
2001-04-12,0.062034740628505114,0.06173474062850511
2001-04-16,-0.0402956290425992,-0.0405956290425992
2001-04-17,0.03254065612600732,0.032240656126007315
2001-04-25,0.027334781469991576,0.027034781469991574
2001-06-14,-0.040209005891809535,-0.04050900589180954
2001-06-15,0.019138738078044115,0.018838738078044114
2001-06-20,0.03559325055347751,0.035293250553477505
2001-06-26,0.022802007172778582,0.02250200717277858
2001-07-03,0.00861877104195452,0.00831877104195452
2001-07-05,-0.03164694011027169,-0.031946940110271695
2001-07-06,-0.03162048009133267,-0.03192048009133267
2001-07-13,-0.00530197179744607,-0.00560197179744607
2001-07-17,0.035389754974567866,0.035089754974567865
2001-07-18,-0.014667587536561943,-0.014967587536561943
2001-07-20,0.0038563470942241107,0.003556347094224111
2001-07-24,-0.005695877566926133,-0.005995877566926133
2001-08-06,-0.0007053557525960041,-0.001005355752596004
2001-08-07,0.004275541845599529,0.003975541845599529
2001-08-08,-0.03225802923161136,-0.032558029231611364
2001-08-10,-0.003463616922080859,-0.0037636169220808587
2001-08-16,0.02380957552212193,0.023509575522121927
2001-08-17,-0.017689914918553207,-0.01798991491855321
2001-08-30,-0.01711959459718615,-0.01741959459718615
2001-09-06,-0.024179623258583693,-0.024479623258583695
2001-09-07,0.002379590529338671,0.002079590529338671
2001-09-10,0.01821429576238298,0.01791429576238298
2001-09-17,-0.0015999755859374964,-0.0018999755859374964
2001-09-20,-0.011262796324194024,-0.011562796324194024
2001-09-21,0.028456792812392218,0.028156792812392216
2001-09-27,0.0028168987598808926,0.0025168987598808926
2001-10-01,-0.004159474441826072,-0.004459474441826072
2001-10-03,0.0907811371140046,0.0904811371140046
2001-10-05,0.024516136415543066,0.024216136415543064
2001-10-08,0.02345009538275189,0.023150095382751888
2001-10-10,0.0528020445887063,0.0525020445887063
2001-10-12,0.0064083132616339356,0.006108313261633936
2001-10-15,0.00820640688040819,0.00790640688040819
2001-10-19,0.020998131889614635,0.020698131889614634
2002-01-18,-0.006180830985046404,-0.006480830985046404
2002-01-25,0.009357956821634428,0.009057956821634428
2002-02-04,-0.027397285052958464,-0.027697285052958466
2002-02-05,-0.007652330640317562,-0.007952330640317562
2002-02-12,0.0005508250346248911,0.0002508250346248911
2002-02-19,-0.019508019438670976,-0.019808019438670978
2002-02-21,-0.037654536901904456,-0.03795453690190446
2002-03-05,0.013268287563508618,0.012968287563508618
2002-03-06,0.014023641245640484,0.013723641245640484
2002-03-20,-0.021969014973126977,-0.02226901497312698
2002-03-27,-0.0005613375572298684,-0.0008613375572298684
2002-04-01,0.026536334725839827,0.026236334725839826
2002-04-02,-0.02473594777575472,-0.02503594777575472
2002-04-04,0.007536183232846438,0.0072361832328464385
2002-04-08,0.03973701726472423,0.039437017264724226
2002-04-11,-0.019607838692930257,-0.01990783869293026
