Date,open_00,open_split,close_23,M,A
2017-08-18 00:00:00+00:00,4285.08,4293.09,4108.37,0.0018692766529446736,-0.0430272833786387
2017-08-19 00:00:00+00:00,4108.37,4066.0,4139.98,-0.01031309254035051,0.018194786030496735
2017-08-20 00:00:00+00:00,4120.98,4096.32,4086.29,-0.005984013511349251,-0.002448539176626796
2017-08-21 00:00:00+00:00,4069.13,3914.59,4016.0,-0.037978634253513666,0.025905650400169566
2017-08-22 00:00:00+00:00,4016.0,3874.38,4040.0,-0.035263944223107524,0.04274748475885182
2017-08-23 00:00:00+00:00,4040.0,4166.89,4114.01,0.03140841584158416,-0.012690519788139398
2017-08-24 00:00:00+00:00,4147.0,4173.11,4316.01,0.006296117675427926,0.03424304655281096
2017-08-25 00:00:00+00:00,4316.01,4303.82,4280.68,-0.0028243678768122837,-0.005376618910642006
2017-08-26 00:00:00+00:00,4280.71,4258.53,4337.44,-0.005181383462089295,0.01852986828788339
2017-08-27 00:00:00+00:00,4332.51,4312.69,4310.01,-0.004574715349762726,-0.0006214218967742768
2017-08-28 00:00:00+00:00,4310.01,4295.32,4386.69,-0.003408344760221116,0.02127198904854577
2017-08-29 00:00:00+00:00,4353.65,4581.61,4587.48,0.0523606628920561,0.0012812090073139881
2017-08-30 00:00:00+00:00,4564.52,4584.0,4555.14,0.004267699560961402,-0.00629581151832459
2017-08-31 00:00:00+00:00,4555.14,4685.55,4724.89,0.028629196907230092,0.00839602608018275
2017-09-01 00:00:00+00:00,4689.89,4777.02,4834.91,0.01857826089737724,0.01211843366785148
2017-09-02 00:00:00+00:00,4796.16,4618.39,4472.14,-0.037065068721643835,-0.031666879583577834
2017-09-03 00:00:00+00:00,4508.5,4303.31,4509.08,-0.045511811023622006,0.04781668064815214
2017-09-04 00:00:00+00:00,4505.0,4275.19,4100.11,-0.05101220865704781,-0.04095256585087448
2017-09-05 00:00:00+00:00,4106.97,4267.23,4366.47,0.03902146838179954,0.02325630444105453
2017-09-06 00:00:00+00:00,4366.49,4490.01,4619.77,0.0282881673838713,0.02889971291823401
2017-09-07 00:00:00+00:00,4619.77,4720.32,4691.61,0.02176515281063751,-0.006082214765100624
2017-09-08 00:00:00+00:00,4691.66,4372.45,4282.8,-0.06803775209627294,-0.020503379112396858
2017-09-09 00:00:00+00:00,4282.8,4302.15,4258.81,0.004518072289156461,-0.010074032751066109
2017-09-10 00:00:00+00:00,4258.81,4108.15,4130.37,-0.035376079233401025,0.005408760634348919
2017-09-11 00:00:00+00:00,4153.62,4260.52,4208.47,0.02573658639933374,-0.012216818604301904
2017-09-12 00:00:00+00:00,4208.6,4266.32,4163.72,0.01371477450933778,-0.024048828967353497
2017-09-13 00:00:00+00:00,4159.72,3878.99,3944.69,-0.06748771551931387,0.01693739865274213
2017-09-14 00:00:00+00:00,3944.0,3534.99,3189.02,-0.10370436105476677,-0.09787014956195061
2017-09-15 00:00:00+00:00,3188.01,3389.9,3700.0,0.06332790675060607,0.09147762470869347
2017-09-16 00:00:00+00:00,3674.01,3674.98,3714.95,0.00026401670109765796,0.010876249666664783
2017-09-17 00:00:00+00:00,3685.23,3617.45,3699.99,-0.01839233914843852,0.022817177846272907
2017-09-18 00:00:00+00:00,3690.0,4097.98,4035.01,0.11056368563685615,-0.015366107204036972
2017-09-19 00:00:00+00:00,4060.0,3930.0,3910.04,-0.03201970443349755,-0.005078880407124675
2017-09-20 00:00:00+00:00,3910.04,3992.02,3900.0,0.02096653742672716,-0.023050986718503363
2017-09-21 00:00:00+00:00,3889.99,3859.53,3609.99,-0.007830354319676824,-0.06465554095965065
2017-09-22 00:00:00+00:00,3592.84,3566.11,3595.87,-0.007439796929448628,0.008345227713110193
2017-09-23 00:00:00+00:00,3595.88,3759.53,3780.0,0.04551041747778006,0.0054448295398625834
2017-09-24 00:00:00+00:00,3779.54,3716.0,3660.02,-0.016811569661916548,-0.015064585575888079
2017-09-25 00:00:00+00:00,3660.02,3779.0,3920.75,0.03250801908186296,0.0375099232601217
2017-09-26 00:00:00+00:00,3928.0,3933.66,3882.35,0.0014409368635437403,-0.013043831952939455
2017-09-27 00:00:00+00:00,3882.36,4070.0,4193.0,0.04833142727619277,0.030221130221130155
2017-09-28 00:00:00+00:00,4192.11,4180.0,4174.5,-0.0028887600754750054,-0.001315789473684159
2017-09-29 00:00:00+00:00,4178.98,4158.0,4174.69,-0.005020363820836593,0.004013949013949025
2017-09-30 00:00:00+00:00,4175.0,4286.82,4378.51,0.026783233532934103,0.021388815019058427
2017-10-01 00:00:00+00:00,4378.49,4279.0,4378.48,-0.02272244540926205,0.02324842252862802
2017-10-02 00:00:00+00:00,4400.0,4413.01,4380.0,0.002956818181818255,-0.007480155268173028
2017-10-03 00:00:00+00:00,4380.0,4208.0,4310.0,-0.03926940639269405,0.024239543726235713
2017-10-04 00:00:00+00:00,4314.9,4194.79,4208.59,-0.02783610280655391,0.0032897951983295037
2017-10-05 00:00:00+00:00,4208.59,4311.13,4292.43,0.024364454603560848,-0.004337609860987635
2017-10-06 00:00:00+00:00,4318.99,4340.01,4369.0,0.0048668785989318675,0.0066797081112714984
2017-10-07 00:00:00+00:00,4369.0,4345.02,4423.0,-0.00548867017624155,0.01794698298281694
2017-10-08 00:00:00+00:00,4425.0,4539.0,4640.0,0.025762711864406818,0.02225159726812076
2017-10-09 00:00:00+00:00,4640.0,4634.99,4786.95,-0.0010797413793104393,0.0327853997527503
2017-10-10 00:00:00+00:00,4786.95,4849.99,4783.06,0.013169136924346292,-0.01380002845366679
2017-10-11 00:00:00+00:00,4783.06,4789.99,4821.43,0.001448863279992274,0.006563688024400882
2017-10-12 00:00:00+00:00,4821.43,5191.99,5430.0,0.0768568661164839,0.04584176780001514
2017-10-13 00:00:00+00:00,5439.99,5678.0,5649.98,0.04375191866161532,-0.00493483620993318
2017-10-14 00:00:00+00:00,5650.0,5717.07,5869.99,0.011870796460176969,0.02674796705305349
2017-10-15 00:00:00+00:00,5855.03,5542.76,5709.99,-0.053333629375084235,0.030170889592910255
2017-10-16 00:00:00+00:00,5710.0,5705.9,5760.02,-0.0007180385288967361,0.00948491911880689
2017-10-17 00:00:00+00:00,5760.0,5597.26,5595.0,-0.028253472222222187,-0.0004037689869687
2017-10-18 00:00:00+00:00,5595.0,5156.33,5512.06,-0.0784039320822163,0.06898899023142446
2017-10-19 00:00:00+00:00,5513.0,5689.88,5683.9,0.03208416470161435,-0.0010509887730497658
2017-10-20 00:00:00+00:00,5683.31,5630.02,6010.01,-0.009376578085657838,0.06749354353980985
