,0
s2.0_H1,-6.537985388057467
s2.0_H3,-4.835021185447904
s2.0_H6,-3.7627272197627994
s2.5_H1,-4.8385925636514004
s2.5_H3,-3.696310377931176
s2.5_H6,-2.7113694490635094
s3.0_H1,-3.841629386522201
s3.0_H3,-3.046226032309459
s3.0_H6,-2.146035011139173
