,entry_date,exit_date,direction,holding_days,gross_return,pnl
0,2000-09-05,2001-01-10,1,87,-0.06636672143276412,-0.06672672143276412
1,2001-04-03,2001-09-07,1,109,-0.12582777431202474,-0.12618777431202474
2,2002-03-04,2004-10-07,1,650,0.9635237610868521,0.9631637610868521
3,2005-03-02,2006-11-03,1,421,1.2424035719320932,1.2420435719320932
4,2007-05-02,2008-02-11,1,196,-0.02240356527275089,-0.02276356527275089
5,2008-05-02,2008-08-07,1,67,-0.07046035167299436,-0.07082035167299436
6,2009-03-03,2010-09-07,1,382,1.3174128508953986,1.3170528508953987
7,2011-02-02,2011-11-04,1,192,-0.21046253204734422,-0.21082253204734422
8,2012-12-04,2013-07-08,1,147,-0.1538461991920368,-0.1542061991920368
9,2013-09-04,2014-04-10,1,151,-0.06992264071017784,-0.07028264071017784
10,2014-08-04,2014-12-08,1,88,-0.08763453380599229,-0.08799453380599229
11,2015-08-04,2015-11-06,1,67,-0.04004264010760006,-0.04040264010760006
12,2016-01-05,2016-04-12,1,67,0.008693613513849119,0.00833361351384912
13,2016-05-03,2017-11-06,1,380,0.37541466280136637,0.37505466280136635
14,2018-04-03,2018-10-08,1,131,-0.09521460456350683,-0.09557460456350683
15,2019-05-02,2020-05-11,1,258,-0.14074206954133217,-0.14110206954133217
16,2020-06-02,2021-10-07,1,341,0.6799354068218852,0.6795754068218852
17,2022-05-03,2023-03-13,1,215,-0.04934791353621493,-0.049707913536214926
18,2023-05-02,2024-04-10,1,237,0.09420467562139301,0.09384467562139301
