Div,Season,Date,HomeTeam,AwayTeam,FTR,outcome,odds,ev,fair_p_open,fair_p_close,win,clv,pnl_gross,pnl_tax,pnl_slip,suspect
D2,2324,2024-05-19,Wehen,St Pauli,A,H,3.0,0.04099830817673711,0.34699943605891237,0.3181679228939468,0.0,-0.04549623131815961,-1.0,-1.053,-1.0,False
SP1,1920,2019-09-26,Eibar,Sevilla,H,H,3.5,0.030858949696987548,0.2945311284848536,0.27031346769409065,1.0,-0.053902863070682705,2.5,2.447,2.475,False
SP1,1920,2019-11-02,Levante,Barcelona,H,H,9.0,0.04226182468824069,0.11580686940980452,0.10939108167041642,1.0,-0.01548026496625221,8.0,7.947,7.92,False
SP1,1920,2019-11-10,Mallorca,Villarreal,H,H,3.6,0.03128640839640373,0.2864684467767788,0.26314420410756434,1.0,-0.05268086521276838,2.6,2.547,2.574,False
SP1,1920,2019-12-14,Sociedad,Barcelona,D,H,5.25,0.034920202710452486,0.1971276576591338,0.18008530085874708,0.0,-0.0545521704915779,-1.0,-1.053,-1.0,False
SP1,1920,2020-03-08,Betis,Real Madrid,H,H,4.5,0.04184520196740249,0.2315211559927561,0.22389434484343115,1.0,0.007524551795440093,3.5,3.447,3.465,False
SP1,2324,2024-02-18,Vallecano,Real Madrid,D,H,6.0,0.04052962928337389,0.17342160488056232,0.17650990985194737,0.0,0.0590594591116842,-1.0,-1.053,-1.0,False
,2425,2025-04-12,Leganes,Barcelona,A,H,8.5,0.04592816164476998,0.12305037195820824,0.08358645129708729,0.0,-0.28951516397475807,-1.0,-1.053,-1.0,False
,2526,2025-10-19,Getafe,Real Madrid,A,H,8.0,0.05313779610870717,0.1316422245135884,0.12489663207736904,0.0,-0.0008269433810477178,-1.0,-1.053,-1.0,False
I1,2021,2021-04-26,Torino,Napoli,A,H,4.75,0.039739992099975696,0.21889262991578434,0.2567930951737533,0.0,0.2197672020753283,-1.0,-1.053,-1.0,False
I1,2223,2023-02-26,Bologna,Inter,H,H,5.5,0.05371019653506259,0.1915836720972841,0.1864605290080487,1.0,0.02553290954426779,4.5,4.447,4.455,False
I1,2324,2023-08-28,Cagliari,Inter,A,H,7.5,0.05714574403063,0.14095276587075067,0.12335434560016366,0.0,-0.07484240799877251,-1.0,-1.053,-1.0,False
F1,1920,2019-08-10,Dijon,St Etienne,A,H,4.0,0.04678231725920856,0.26169557931480214,0.25122890789189206,0.0,0.004915631567568246,-1.0,-1.053,-1.0,False
